[2025-06-24T09:22:07.947Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1342, completion-tokens, 110, total-tokens, 1452, cost-ms, 16377, requestId, 
[2025-06-24T09:22:29.808Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1341, completion-tokens, 108, total-tokens, 1449, cost-ms, 9175, requestId, 
[2025-06-24T09:22:53.244Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1343, completion-tokens, 91, total-tokens, 1434, cost-ms, 11233, requestId, 
[2025-06-24T09:23:17.333Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1039, completion-tokens, 107, total-tokens, 1146, cost-ms, 12464, requestId, 
[2025-06-24T09:23:37.565Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1040, completion-tokens, 108, total-tokens, 1148, cost-ms, 5368, requestId, 
[2025-06-24T09:24:02.519Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1339, completion-tokens, 125, total-tokens, 1464, cost-ms, 10137, requestId, 
[2025-06-24T09:24:33.824Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1342, completion-tokens, 131, total-tokens, 1473, cost-ms, 13902, requestId, 
[2025-06-24T09:25:03.301Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1040, completion-tokens, 124, total-tokens, 1164, cost-ms, 12633, requestId, 
[2025-06-24T09:25:25.345Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1342, completion-tokens, 129, total-tokens, 1471, cost-ms, 5411, requestId, 
[2025-06-24T09:25:59.203Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1040, completion-tokens, 124, total-tokens, 1164, cost-ms, 15714, requestId, 
[2025-06-24T09:26:29.002Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1342, completion-tokens, 131, total-tokens, 1473, cost-ms, 13910, requestId, 
[2025-06-24T09:26:57.303Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1040, completion-tokens, 124, total-tokens, 1164, cost-ms, 13427, requestId, 
[2025-06-24T09:27:17.428Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1342, completion-tokens, 129, total-tokens, 1471, cost-ms, 5201, requestId, 
[2025-06-24T09:27:39.816Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1040, completion-tokens, 124, total-tokens, 1164, cost-ms, 6965, requestId, 
[2025-06-24T09:28:06.836Z] model, qwen/qwen2.5-vl-72b-instruct, mode, qwen-vl, ui-tars-version, false, prompt-tokens, 1040, completion-tokens, 126, total-tokens, 1166, cost-ms, 12479, requestId, 
